id,Hochdeutsch,IPA_Dialekt,method_greedy,method_positional,method_ibm,greedy_hits,greedy_pmi,greedy_rate,positional_count,ibm_prob,ibm_expected_count,ibm_sentence_support,method_count,methods,example_type,example_sentence,example_ipa_audio,example_ipa_reference,example_tense,correct,comment
1,und,ʊnt,1,1,1,143.0,3.0135,0.4347,67.0,0.999422,143.8526,143.0,3,"greedy, positional, ibm",hd+ipa,Alle Elemente sind gesteckt und geschraubt.,ɑːliːrə mɛnt zɪnt gʃtɛkɪt ʊnt gʃroːbət,alə eːleːmɛntə zɪnt ɡəʃtɛkt ʊnt ɡəʃraʊpt,Perfekt,1,
2,es,ɛs,1,1,1,107.0,2.4776,0.3702,89.0,0.974039,101.7704,105.0,3,"greedy, positional, ibm",hd+ipa,Es wäre sicher nicht zielführend.,ɛs vɛsɪç ɦɪnɛtsɪl fyːɾɛnd,ɛs vɛːrə zɪçɜ nɪçt tsiːlfyːrənt,Präsens,1,
3,für,fyːɾ,1,1,1,84.0,3.3846,0.359,39.0,0.996072,84.9041,83.0,3,"greedy, positional, ibm",hd+ipa,Sie hat die Zusammenarbeit für dieses Projekt mit den Gemeinden gesucht.,ɪn hɛt zlɛmə ɑːbɛlt fyːɾ das bɾɛkçt miː deːk maɪnɪnzgzuːxt,ziː hat diː tsuːzamənaɾbaɪt fyːɾ diːzəs pɾoːjɛkt mɪt deːn ɡəmaɪndən ɡəzuːxt,Perfekt,1,
4,im,ɪm,1,1,1,80.0,3.3836,0.4061,37.0,0.881895,78.1855,80.0,3,"greedy, positional, ibm",hd+ipa,Sie kümmerte sich nicht im Geringsten um das Glück ihres Vaters.,zɪh haɪt ziːɾ nɛd ɪm gɾɛŋkʃteːʊm ʃglʏk fɔːɾ iːrən vɑːtɛ gɾʏmərə,ziː kʏmɜtə zɪç nɪçt ɪm ɡərɪŋstən ʊm das ɡlʏk iːrəs fɑːtɜs,Präsens,1,
5,sich,zɪç,1,1,1,72.0,3.7201,0.3547,32.0,0.997988,72.703,72.0,3,"greedy, positional, ibm",hd+ipa,Susanne Heuberger begibt sich in den Ausstand.,tsuːzɑːn hɔøbɛɾgɔ bɛgiːt zɪç ɪn ʊsʃtɑːnd,zuːzanə hɔøbɛɾɡɜ bəɡiːpt zɪç ɪn deːn aʊsʃtant,Präsens,1,
6,ich,ɪç,1,1,1,68.0,2.8047,0.3285,60.0,0.991382,69.4041,68.0,3,"greedy, positional, ibm",hd+ipa,Ich danke aber auch allen Fiko-Mitgliedern für ihren ausserordentlichen Einsatz.,ɪç dɑŋkənaɪnɑːv alənə fiːk kɔmɪkgliːtɑː fyːrɪən ʊsɛrɔːgənləxəniːzɛts,ɪç daŋkə ɑːbɜ aʊx alən fiːkoːmɪtɡliːdɜn fyːɾ iːrən aʊszeːrɔɾdəntlɪçən aɪnzats,Präsens,1,
7,hat,hɛt,1,1,1,45.0,3.1926,0.3409,20.0,0.997556,44.3592,45.0,3,"greedy, positional, ibm",hd+ipa,Womit er natürlich recht hat.,vɔmi tɪn ɛn ɑn tøɾɭɪç gərɛçt hɛt,voːmɪt ɛɾ nɑːtyːɾlɪç rɛçt hat,Präsens,1,
8,werden,vɛɾdə,1,1,1,45.0,4.2332,0.2866,17.0,0.990521,45.9228,45.0,3,"greedy, positional, ibm",hd+ipa,Deshalb soll der Grenzschutz dort verstärkt werden.,ɪs aɪpsəldə gɾɛːnʃʊts døːt fɛɾʃtɛɾkst vɛɾdə,dɛshalp zɔl dɛɾ ɡɾɛntsʃʊts dɔɾt fɛɾʃtɛɾkt vɛɾdən,Futur,1,
9,als,als,1,1,1,43.0,4.8901,0.5,20.0,0.999951,44.9737,43.0,3,"greedy, positional, ibm",hd+ipa,Zudem bin ich bei SRF als Experte noch ein wenig dabei.,tsuːdɛn biniː biːɛsərɛf als ɛkspɛɾtɛ nɔɾ ɛs piːtslɪdɛbiː,tsuːdeːm bɪn ɪç baɪ ɛsɛrɛf als ɛkspɛɾtə nɔx aɪn veːnɪç dɑːbaɪ,Präsens,1,
10,auch,aʊ,1,1,1,35.0,3.749,0.157,25.0,0.934626,34.9606,35.0,3,"greedy, positional, ibm",hd+ipa,Auch die FDP möchte ihre Vertretung weiter ausbauen.,aʊ tɛftɪpeː vøːkiːr efɛtɾɛtɪg vitə uspaʊə,aʊx diː ɛfdeːpeː mœçtə iːrə fɛɾtɾeːtʊŋ vaɪtɜ aʊsbaʊən,Präsens,1,
11,sind,zɪnt,1,1,1,34.0,3.6402,0.2345,21.0,0.76856,33.8687,33.0,3,"greedy, positional, ibm",hd+ipa,Das sind eindeutige Aufgaben der Abteilungs- und Ressortleitung.,das zɪnt aɪdyːtɪgə gəʊfkɔpə foːdɛ aːptaɪlɪks ʊntrøːsɔːlaɪtɪk,das zɪnt aɪndɔøtɪɡə aʊfɡɑːbən dɛɾ aptaɪlʊŋs ʊnt rɛsɔɾtlaɪtʊŋ,Präsens,1,
12,nach,nɔx,1,1,1,32.0,5.1053,0.5246,13.0,0.999993,32.9645,32.0,3,"greedy, positional, ibm",hd+ipa,Geblieben ist hingegen ihr Drang nach Leistung.,liːbə ɪʃən geːgə iːrə dɾaːn nɔx laɪʃtɪk,ɡəbliːbən ɪst hɪnɡeːɡən iːɾ dɾaŋ nɑːx laɪstʊŋ,Perfekt,1,
13,des,fɔm,1,1,1,30.0,4.2472,0.3571,10.0,0.7381,29.3241,30.0,3,"greedy, positional, ibm",hd+ipa,Das Pensum des Abteilungsleiters verändert sich nicht.,spɪn tsʊm fɔm ɑp daɪnɪkslaɪtɛrɪtɛr hɛt zɪç nøtfɛ ɛndərət,das pɛnzʊm dɛs aptaɪlʊŋslaɪtɜs fɛɾɛndɜt zɪç nɪçt,Präsens,1,
14,zum,tsʊm,1,1,1,30.0,5.3792,0.5263,9.0,0.999991,29.9536,30.0,3,"greedy, positional, ibm",hd+ipa,Wählen Sie zum Anfangen die tiefere HD-Auflösung.,vɛɾlə tsi tsʊm aɪfɑːnə diː dyːfɔhɑːdə ʊfløːzɪk,vɛːlən ziː tsʊm anfaŋən diː tiːfərə hɑːdeːaʊfløːzʊŋ,Präsens,1,
15,er,ɛɾ,1,1,1,29.0,3.0817,0.2086,21.0,0.871397,28.9349,29.0,3,"greedy, positional, ibm",hd+ipa,"Er hatte 1,5 Promille sowie Kokain im Blut.",ɛɾ hɛt aɪs kɔn vyːn fryːlzə oːviː kɔkɾətən bloːkə,ɛɾ hatə aɪns fʏnf pɾoːmɪlə zoːviː koːkaɪn ɪm bluːt,Präteritum,1,
16,wir,miːɾ,1,1,1,28.0,3.4613,0.125,20.0,0.465966,27.8213,28.0,3,"greedy, positional, ibm",hd+ipa,Wir starten heute mit der zweiten Sitzung der Legislaturperiode.,miːɾ ʃtɑːdɪt miːdɪ tsaɪdə ziːtsɪç tɛɾ liːgɪs latuːɾ beːɾiːoːdə,viːɾ ʃtaɾtən hɔøtə mɪt dɛɾ tsvaɪtən zɪtsʊŋ dɛɾ leːɡɪslɑtʊɐpeːrɪoːdə,Präsens,1,
17,sie,ziː,1,1,1,27.0,3.0477,0.1421,17.0,0.510167,25.2732,26.0,3,"greedy, positional, ibm",hd+ipa,Wir lehnen sie einstimmig ab.,ɪlɛnət ziː aɪnʃtiːmiː aʊp,viːɾ leːnən ziː aɪnʃtɪmɪç ap,Präsens,1,
18,haben,hɛnt,1,1,1,24.0,3.9655,0.233,13.0,0.717217,23.8846,24.0,3,"greedy, positional, ibm",hd+ipa,Und neue Türen haben sich nicht geöffnet.,ʊnt nɔødyːrə hɛnt zɪç nøkəlfnɛt,ʊnt nɔøə tyːrən hɑːbən zɪç nɪçt ɡəœfnət,Perfekt,1,
19,zu,tsuː,1,1,1,22.0,3.1403,0.1287,4.0,0.915875,21.9255,22.0,3,"greedy, positional, ibm",hd+ipa,Dabei sind wir zu keinem vernünftigen Schluss gekommen.,dɛɾ biː zimə tsuː kaɪn fɔnœftɪgə ʃluːs koː,dɑːbaɪ zɪnt viːɾ tsuː kaɪnəm fɛɾnʏnftɪɡən ʃlʊs ɡəkɔmən,Perfekt,1,
20,so,zoː,1,1,1,19.0,4.4722,0.2159,13.0,0.680897,18.863,19.0,3,"greedy, positional, ibm",hd+ipa,Natürlich kann man Gas als nicht so schlimm wie andere Energieträger ansehen.,nɑktɪɔːliːk kɑmə gɑːs als nit zoː ʃlim biː andərə ɪnɑːkiːtɾɛːkɑː ɑːlwɑːkɑ,nɑːtyːɾlɪç kan man ɡɑːs als nɪçt zoː ʃlɪm viː andərə eːnɛɾɡiːtɾɛːɡɜ anzeːən,Präsens,1,
21,wird,viːɾt,1,1,1,19.0,4.1494,0.1496,10.0,0.368694,17.7598,19.0,3,"greedy, positional, ibm",hd+ipa,Weltistrasse wird genehmigt.,dvɛltɪʃ tɾas viːɾt gəneːmɪkt,vɛltɪstɾasə vɪɾt ɡəneːmɪçt,Futur,1,
22,doch,dɔx,1,1,1,18.0,4.994,0.2687,17.0,0.702046,17.9288,18.0,3,"greedy, positional, ibm",hd+ipa,Doch deshalb muss keiner auf Luxus und Leistung verzichten.,dɔx dɑːmə mʊs kɛnə flʊtsəl zoːd laɪʃtə diː diː diː zɪçtə,dɔx dɛshalp mʊs kaɪnɜ aʊf lʊksʊs ʊnt laɪstʊŋ fɛɾtsɪçtən,Präsens,1,
23,dass,das,1,1,1,18.0,3.8092,0.3,8.0,0.619734,17.6468,18.0,3,"greedy, positional, ibm",hd+ipa,"Schon ein paar mal habe ich erwähnt, dass das Potentialrechnungen sind.",tluːs baːmɔl hɔn nɪç ɛvɛnd das dɛs pʊtɛntsɪɑːlrɛçniːgəzɪnt,ʃoːn aɪn pɑːɾ mɑːl hɑːbə ɪç ɛɾvɛːnt das das poːtɛntiːalrɛçnʊŋən zɪnt,Präsens,1,
24,am,am,1,1,1,16.0,4.8349,0.1758,6.0,0.748133,15.9605,16.0,3,"greedy, positional, ibm",hd+ipa,Am Schluss wird er eine ganze Flasche geleert haben.,am xluθ vi atɾeɡants i flɛɾʃiɾ glɛjɾ tɑ,am ʃlʊs vɪɾt ɛɾ aɪnə ɡantsə flaʃə ɡəleːɾt hɑːbən,Futur,1,
25,bei,biː,1,1,1,16.0,3.9333,0.1882,6.0,0.956622,15.9957,16.0,3,"greedy, positional, ibm",hd+ipa,Bei der ersten Ausgabe wurden die Scheine folgendermassen verteilt.,biː dɛɾ eːɾʃtə ʊsgɑːp zɪnt tʃiːl foːlgənɛɾ maɾseː fɛɾdaɪlt vɔːdɛ,baɪ dɛɾ eːɾstən aʊsɡɑːbə vʊɐdən diː ʃaɪnə fɔlɡəndɜmasən fɛɾtaɪlt,Präteritum,1,
26,wie,viːɾ,1,1,1,15.0,3.9956,0.2586,11.0,0.713175,14.3721,15.0,3,"greedy, positional, ibm",hd+ipa,Wie fühlen Sie sich als Entertainer mittleren Alters?,viːɾ vyːlə tsiː ziːx als ɛndɔteːnɔ mɪçlrən ɛltɔs,viː fyːlən ziː zɪç als (en)ɛntəteɪnə(de) mɪtlərən altɜs,Präsens,1,
27,mehr,meː,1,1,1,14.0,4.7097,0.1867,9.0,0.796901,13.9753,14.0,3,"greedy, positional, ibm",hd+ipa,Jedes Jahr reisen mehr als 35 Millionen Touristen nach Thailand.,jeːdəs jɑːɾ als meː als fœfətɾɪsk mɪliːɔːnə duː viːɾʃtə ɔftɛɪlɛnt,jeːdəs jɑːɾ raɪzən meːɾ als fʏnf ʊntdɾaɪsɪç mɪljoːnən tuːrɪstən nɑːx taɪlant,Präsens,1,
28,dann,dɛn,1,1,1,14.0,3.8429,0.2745,7.0,0.696385,14.5973,14.0,3,"greedy, positional, ibm",hd+ipa,Die Prüfung und Beratung erfolgt dann an der nächsten Sitzung der FGPK.,bɾøːfyːkʊŋ bərɑːtɪgɛrfɔlp dɛn nɪçɛ nɛrʃtə siːt ziːk fɔl dɛr ɛfgeːpɛːkɾɑː,diː pɾyːfʊŋ ʊnt bərɑtʊŋ ɛɾfɔlkt dan an dɛɾ nɛçstən zɪtsʊŋ dɛɾ ɛfɡeːpeːkɑː,Präsens,1,
29,vom,fɔm,1,1,1,13.0,6.1617,0.65,5.0,0.999504,12.8134,13.0,3,"greedy, positional, ibm",hd+ipa,Wir haben vom DGS sehr viel Goodwill erfahren.,meɑ hænd fɔm dɛkə ɛs sɛrfɪl kʊt wɪl ɛfɑːbɛ,viːɾ hɑːbən fɔm deːɡeːɛs zeːɾ fiːl ɡoːdvɪl ɛɾfɑːrən,Präsens,1,
30,bereits,bəraɪts,1,1,1,12.0,6.3811,0.3243,4.0,0.861183,11.976,12.0,3,"greedy, positional, ibm",hd+ipa,Das Geld sei von der CS bereits ausbezahlt worden.,daɪkəltsɪk fɔr dɛɾ tseːrəs bəraɪts hʊstsaɪltpɔɾdən,das ɡɛlt zaɪ fɔn dɛɾ tseːɛs bəraɪts aʊsbətsɑːlt vɔɾdən,Präsens,1,
31,dafür,fyːɾ,1,1,1,12.0,5.7161,0.375,3.0,0.752235,11.949,12.0,3,"greedy, positional, ibm",hd+ipa,Dafür wurde er mit der Fields-Medaille ausgezeichnet.,dɑːrdɛ fyːɾ ɪn ɪn dɛn fiːlt mɪdɛlɾiː aʊstsaɪçnət vɑːrdən,dɑːfyːɾ vʊɐdə ɛɾ mɪt dɛɾ fiːltsmeːdalɪə aʊsɡətsaɪçnət,Präteritum,0,Dafür wäre dɑːrdɛ fyːɾ
32,hatte,hɛt,1,1,1,12.0,4.0921,0.3871,3.0,0.81967,11.7403,12.0,3,"greedy, positional, ibm",hd+ipa,"Er hatte 1,5 Promille sowie Kokain im Blut.",ɛɾ hɛt aɪs kɔn vyːn fryːlzə oːviː kɔkɾətən bloːkə,ɛɾ hatə aɪns fʏnf pɾoːmɪlə zoːviː koːkaɪn ɪm bluːt,Präteritum,1,
33,ganz,gants,1,1,1,11.0,6.8801,0.4583,8.0,0.883215,10.9341,11.0,3,"greedy, positional, ibm",hd+ipa,Cannabis ist in Bezug auf Psychose nicht ganz ohne.,kɑnɑpɪs ɪn bɪtsuːkɔf pɪsɪxɔsɛ nøk gants ɔnɪ,kanabɪs ɪst ɪn bətsuːk aʊf pzʏçoːzə nɪçt ɡants oːnə,Präsens,1,
34,um,ʊm,1,1,1,11.0,4.5138,0.2,7.0,0.623954,10.9572,11.0,3,"greedy, positional, ibm",hd+ipa,"Die Prämie für Kinder sinkt hingegen leicht um 0,1 Prozent.",bɾaɪm ɛɾ fɛrɪnt zɪŋkt hɛŋgɛɾgəliːɾxt ʊm nʊlkɾɛm aɪs bɔːtsɛnt,diː pɾɛːmɪə fyːɾ kɪndɜ zɪŋkt hɪnɡeːɡən laɪçt ʊm nʊl aɪns pɾoːtsɛnt,Präsens,1,
