path,dialect_region,sentence,ipa_reference,ipa_audio,ipa_swiss_whisper
0bda2f56-850b-4930-9370-89ba5bb5e80a/d115ccf1076bab9c97a0d10d1e488f88fc5d9f234166a9c162f921db470605f5.mp3,Ostschweiz,Der Bericht enthält weitere Lücken.,dɛɾ bərɪçt ɛnthɛlt vaɪtərə lʏkən,dˈɛt brɪxt ɛntɦˈatˈɛt vˈitər lˈyːkə,dɛɾ bərɪçt ɛnthɛlt vaɪtərə lʏkən
684dd9cf-2844-407b-9a7f-12e7b559773f/baa106459ce0311af6cc9d3c458ba71aac9476ade62a876e735981eea44f5873.mp3,Ostschweiz,Auch die FDP möchte ihre Vertretung weiter ausbauen.,aʊx diː ɛfdeːpeː mœçtə iːrə fɛɾtɾeːtʊŋ vaɪtɜ aʊsbaʊən,ˈaʊ tˈɛftɪpˈeː vˈøːkˈiːr ˌefɛtɾˈɛtɪg vˈitə ˈuspˈaʊə,aʊx diː ɛfdeːpeː vɪl iːrə fɛɾtɾeːtʊŋ vaɪtɜ aʊsbaʊən
d9be733d-d0bd-41bb-8dc5-dfcabb99c105/af43658f5a8aebbafe25cd7c6504dcb7464dfef295c9ec6eaf374aad03fd316d.mp3,Ostschweiz,Zudem bin ich bei SRF als Experte noch ein wenig dabei.,tsuːdeːm bɪn ɪç baɪ ɛsɛrɛf als ɛkspɛɾtə nɔx aɪn veːnɪç dɑːbaɪ,tsuːdɛn biniː biːˈɛsərɛf als ɛkspɛɾtɛ nˈɔɾ ɛs piːtslɪdɛbiː,tsuːdeːm bɪn ɪç baɪ ɛsɛrɛf als ɛkspɛɾtə nɔx aɪn veːnɪç dɑːbaɪ
937d2af6-fc16-47b1-a53b-4dee4accc211/79325f5cd8e7de58c2464812ce86bf6bcb8b71b0d598c82ffe28c2db3932df86.mp3,Ostschweiz,Dafür wurde er mit der Fields-Medaille ausgezeichnet.,dɑːfyːɾ vʊɐdə ɛɾ mɪt dɛɾ fiːltsmeːdalɪə aʊsɡətsaɪçnət,dɑːrˈdɛ fyːɾ ˈɪn ˈɪn dˈɛn fˈiːlt mɪdˈɛlɾiː ˈaʊstsˌaɪçnət vˈɑːrdən,dɑːfyːɾ vʊɐdə aʊx mɪt deːn fɪltsmeːdaɪlən aʊsɡətsaɪçnət
8d167b1c-7f89-4487-a0a9-2bbe08bf0b41/b0a6c641426b3becfd8b17b4e271775890be4d50640bd024af3cdd132970c61b.mp3,Ostschweiz,Das habe ich mir aber nur einmal angeschaut.,das hɑːbə ɪç miːɾ ɑːbɜ nuːɾ aɪnmɑːl anɡəʃaʊt,dɛsaiːn nɛːmɑːrɑːbɑːnuː aɪmɑlɑː klɛuɛkɛtt,diːs hɑːbə ɪç miːɾ ɑːbɜ nuːɾ aɪnmɑːl anɡəʃaʊt
831d404d-b189-42b6-8120-073c1f8af73c/9a881d77bd50409d8e40e00a7167ca129d0f49489ee8b95aaf06e33fb77cb07f.mp3,Ostschweiz,Cannabis ist in Bezug auf Psychose nicht ganz ohne.,kanabɪs ɪst ɪn bətsuːk aʊf pzʏçoːzə nɪçt ɡants oːnə,kɑnɑpɪs ɪn bɪtsuːkɔf pɪsɪxɔsɛ nøk gants ɔnɪ,kanabɪs ɪst ɪn bətsuːk aʊf pzʏçoːzə nɪçt ɡants oːnə
937d2af6-fc16-47b1-a53b-4dee4accc211/5d5a925fc751c81bc14fc8e3785066be2f87708ff6e6ee407742cd8310c9d037.mp3,Ostschweiz,Der russische Ministerpräsident Wladimir Putin warnte vor einer Intervention von aussen.,dɛɾ rʊsɪʃə miːnɪstɜpɾɛːziːdɛnt vlɑdiːmiːɾ puːtɪn vaɾntə fɔɾ aɪnɜ ɪntɜvəntsjoːn fɔn aʊsən,ˈɪtə rˈʊsɪʃ mˈiːnɪʃtˈɑːpˌɛɪsɪdˈɛnt vˈlˈɑːtɪ mˈiːɾ bˈʊdɪn hˈɛdfˌɔrɑː ˌɪntɛɾˈɪntsɪːoːn fˈɔɾ ˈʊsəkwˌaɾˌnt,rʊsɪʃ miːnɪstɜpɾɛːziːdɛnt vlɑdiːmiːɾ puːtɪn vaɾntə fɔɾ aɪnɜ ɪntɜvəntsjoːn fɔn aʊsən ɡəvaɾnt
72911186-8b0e-4c0b-af3d-4d8765072930/81627527126fa2b4492de537a2dbcc64826aa7baf74450364e3656a7f48fd59b.mp3,Ostschweiz,Ein Punkt ist besonders erwähnenswert.,aɪn pʊŋkt ɪst bəzɔndɜs ɛɾvɛːnənsveːɾt,ˈaɪpfʊŋktɪç pzˈʊndɐs ɛɾn vˈɛɾdənɪts vˈɛɾt,aɪn pʊŋkt ɪst bəzɔndɜs ɛɾvɛːnənsveːɾt
d9be733d-d0bd-41bb-8dc5-dfcabb99c105/e7b64541a6ece8ddc6fc3c80f4280cb7a80a5f575db8a3ce1fa456c1d0c89060.mp3,Ostschweiz,Aber er gab nie zweimal dasselbe Konzert.,ɑːbɜ ɛɾ ɡɑːp niː tsvaɪmɑːl daszɛlbə kɔntsɛɾt,ˈɛt hˈɛlt nˈiːɾ tsvˈaɪmɪl sˈɛlbɪk kʊntsˈɛrt gˈɛl,ɛɾ ɡɑːp niː tsvaɪmɑːl zɛlbə kɔntsɛɾtə
0bda2f56-850b-4930-9370-89ba5bb5e80a/57676b2dbcb88ca09c2918aeb365796d2ce6d1007fe1bd70a5e9ac1ddce6f252.mp3,Ostschweiz,Afrikas Frühling lässt seine erste Schwalbe fliegen.,afriːkɑːs fryːlɪŋ lɛst zaɪnə eːɾstə ʃvalbə fliːɡən,ˈafriː krasfɔøːˈlɪç lˈɛst zˈiːn jˈɛɾʃʃtˈalbɛflˈyːgɛ,afriːkɑːs fryːlɪŋ lɛst zaɪnə eːɾstə ʃvalbə fliːɡən
831d404d-b189-42b6-8120-073c1f8af73c/36bfed0aa9fbc43d59f533ffaa2fdde68b85876e78d64df1c9de6020223e4b1c.mp3,Ostschweiz,Das Geld sei von der CS bereits ausbezahlt worden.,das ɡɛlt zaɪ fɔn dɛɾ tseːɛs bəraɪts aʊsbətsɑːlt vɔɾdən,dˈaɪkəltsɪk fɔr dˈɛɾ tsˈeːrəs bərˈaɪts hˈʊstsˌaɪltpˌɔɾdən,diːzəs ɡɛlt zaɪ fɔn deːn tseːɛs bəraɪts aʊsɡətsɑːlt vɔɾdən
72911186-8b0e-4c0b-af3d-4d8765072930/6a831a7b17d6f82868606068bfcd20f632cd8a7f7d1d84bc9ed077c7df6ad665.mp3,Ostschweiz,Woher bekommt der Körper Vitamin D?,voːheːɾ bəkɔmt dɛɾ kœɾpɜ viːtamiːn deː,vɔːhɑːbɛ xʊntɪk kɑːpɑːpɑː piːtɑ miːndɛ,voːheːɾ bəkɔmt dɛɾ kœɾpɜ viːtamiːn deː
a677eda9-7709-4c9d-8656-e7b665140f3b/c75cf914496a58f5796c972992dc8c0fac63a5cc8e19b508ba84b16aee4189ab.mp3,Ostschweiz,Susanne Heuberger begibt sich in den Ausstand.,zuːzanə hɔøbɛɾɡɜ bəɡiːpt zɪç ɪn deːn aʊsʃtant,tsuːzɑːn hɔøbɛɾgɔ bɛgˈiːt zˈɪç ɪn ˈʊsʃtɑːnd,zuːzɑːn hɔøbɛɾɡɜ bəɡiːpt zɪç ɪn aʊsʃtant
7f4b1ca8-c652-4056-96fb-f02e82182574/33babf1ba6d2138d87e3b209d754c37c7c206f2ba1b925ea2b3db0460901d245.mp3,Ostschweiz,Da dürfen wir kein Risiko eingehen.,dɑː dʏɾfən viːɾ kaɪn riːziːkoː aɪnɡeːən,tɔːˈtɔːˈfɔːmiːɔːk kʰæːˈj ɾɪːsikɔːˈiːgɔː,dɑː dʏɾfən viːɾ kaɪn riːziːkoː aɪnɡeːən
684dd9cf-2844-407b-9a7f-12e7b559773f/ba78cc61895c9f4e02cd90cb2aecada0378962e246c09be21f42760eef82ff8c.mp3,Ostschweiz,Die Anschläge sind ein Angriff auf das Herz der Nation.,diː anʃlɛːɡə zɪnt aɪn anɡɾɪf aʊf das hɛɾts dɛɾ natsjoːn,dˈaɪlʃlˌaɪgzˌɪndən ˈaɪgɾˌɪf ˈuːfz hˈɛɾtsfʊɐ dˈeːnatsiːoːn,diː anʃlɛːɡə zɪnt aɪn anɡɾɪf aʊf das hɛɾts dɛɾ natsjoːn
8d167b1c-7f89-4487-a0a9-2bbe08bf0b41/94fccc5b8771292e600685ede6dfd629b390981bb2f7747e74109b43a4f4864e.mp3,Ostschweiz,Das ist dem Prozess der Planung des Rechnungsablaufs zuzuschreiben.,das ɪst deːm pɾoːtsɛs dɛɾ plɑnʊŋ dɛs rɛçnʊŋsablaʊfs tsuːtsuːʃraɪbən,ˈɪt ˈɪnʃ vˈɛgən pɾˈɔtsɛs fˈɔɾ dˈɛplɑːnɪk fˈʊm rˈɛç nˈɪçt sˈɑblɑːrf,diːzəs ɪst veːɡən dɛs pɾoːtsɛsəs dɛɾ plɑnʊŋ dɛs rɛçnʊŋsablaʊfs
7f4b1ca8-c652-4056-96fb-f02e82182574/d380b98cb6da989b2bd57e109edec9e873a305f65de60769a741495c1741db32.mp3,Ostschweiz,Nur die Geländewagen tun sich schwer.,nuːɾ diː ɡəlɛndeːvɑːɡən tuːn zɪç ʃveːɾ,ˈɔr glˈɛndɛ vˈɛgən dˈyːn tsˈɪç ʃvˈɛr,nuːɾ diː ɡəlɛndeːvɑːɡən tøːnən zɪç ʃveːɾ
8d167b1c-7f89-4487-a0a9-2bbe08bf0b41/b1c0478b64ffaf40e88160a0146e506219a625c825ae893f05318949b72d36a7.mp3,Ostschweiz,Wie hoch ist der Sachschaden?,viː hoːx ɪst dɛɾ zaxʃɑːdən,vˈiː hˈœɾ ɾiːçtə zˈaxvʃɑːdə,viː hoːx ɪst dɛɾ zaxʃɑːdən
