path,dialect_region,sentence,ipa_reference,ipa_audio,ipa_swiss_whisper
0bda2f56-850b-4930-9370-89ba5bb5e80a/d115ccf1076bab9c97a0d10d1e488f88fc5d9f234166a9c162f921db470605f5.mp3,Ostschweiz,Der Bericht enthält weitere Lücken.,dɛɾ bərɪçt ɛnthɛlt vaɪtərə lʏkən,dɛt brɪxt ɛntɦatɛt vitər lyːkə,dɛɾ bərɪçt ɛnthɛlt vaɪtərə lʏkən
684dd9cf-2844-407b-9a7f-12e7b559773f/baa106459ce0311af6cc9d3c458ba71aac9476ade62a876e735981eea44f5873.mp3,Ostschweiz,Auch die FDP möchte ihre Vertretung weiter ausbauen.,aʊx diː ɛfdeːpeː mœçtə iːrə fɛɾtɾeːtʊŋ vaɪtɜ aʊsbaʊən,aʊ tɛftɪpeː vøːkiːr efɛtɾɛtɪg vitə uspaʊə,aʊx diː ɛfdeːpeː vɪl iːrə fɛɾtɾeːtʊŋ vaɪtɜ aʊsbaʊən
d9be733d-d0bd-41bb-8dc5-dfcabb99c105/af43658f5a8aebbafe25cd7c6504dcb7464dfef295c9ec6eaf374aad03fd316d.mp3,Ostschweiz,Zudem bin ich bei SRF als Experte noch ein wenig dabei.,tsuːdeːm bɪn ɪç baɪ ɛsɛrɛf als ɛkspɛɾtə nɔx aɪn veːnɪç dɑːbaɪ,tsuːdɛn biniː biːɛsərɛf als ɛkspɛɾtɛ nɔɾ ɛs piːtslɪdɛbiː,tsuːdeːm bɪn ɪç baɪ ɛsɛrɛf als ɛkspɛɾtə nɔx aɪn veːnɪç dɑːbaɪ
937d2af6-fc16-47b1-a53b-4dee4accc211/79325f5cd8e7de58c2464812ce86bf6bcb8b71b0d598c82ffe28c2db3932df86.mp3,Ostschweiz,Dafür wurde er mit der Fields-Medaille ausgezeichnet.,dɑːfyːɾ vʊɐdə ɛɾ mɪt dɛɾ fiːltsmeːdalɪə aʊsɡətsaɪçnət,dɑːrdɛ fyːɾ ɪn ɪn dɛn fiːlt mɪdɛlɾiː aʊstsaɪçnət vɑːrdən,dɑːfyːɾ vʊɐdə aʊx mɪt deːn fɪltsmeːdaɪlən aʊsɡətsaɪçnət
8d167b1c-7f89-4487-a0a9-2bbe08bf0b41/b0a6c641426b3becfd8b17b4e271775890be4d50640bd024af3cdd132970c61b.mp3,Ostschweiz,Das habe ich mir aber nur einmal angeschaut.,das hɑːbə ɪç miːɾ ɑːbɜ nuːɾ aɪnmɑːl anɡəʃaʊt,dɛsaiːn nɛːmɑːrɑːbɑːnuː aɪmɑlɑː klɛuɛkɛtt,diːs hɑːbə ɪç miːɾ ɑːbɜ nuːɾ aɪnmɑːl anɡəʃaʊt
831d404d-b189-42b6-8120-073c1f8af73c/9a881d77bd50409d8e40e00a7167ca129d0f49489ee8b95aaf06e33fb77cb07f.mp3,Ostschweiz,Cannabis ist in Bezug auf Psychose nicht ganz ohne.,kanabɪs ɪst ɪn bətsuːk aʊf pzʏçoːzə nɪçt ɡants oːnə,kɑnɑpɪs ɪn bɪtsuːkɔf pɪsɪxɔsɛ nøk gants ɔnɪ,kanabɪs ɪst ɪn bətsuːk aʊf pzʏçoːzə nɪçt ɡants oːnə
937d2af6-fc16-47b1-a53b-4dee4accc211/5d5a925fc751c81bc14fc8e3785066be2f87708ff6e6ee407742cd8310c9d037.mp3,Ostschweiz,Der russische Ministerpräsident Wladimir Putin warnte vor einer Intervention von aussen.,dɛɾ rʊsɪʃə miːnɪstɜpɾɛːziːdɛnt vlɑdiːmiːɾ puːtɪn vaɾntə fɔɾ aɪnɜ ɪntɜvəntsjoːn fɔn aʊsən,ɪtə rʊsɪʃ miːnɪʃtɑːpɛɪsɪdɛnt vlɑːtɪ miːɾ bʊdɪn hɛdfɔrɑː ɪntɛɾɪntsɪːoːn fɔɾ ʊsəkwaɾnt,rʊsɪʃ miːnɪstɜpɾɛːziːdɛnt vlɑdiːmiːɾ puːtɪn vaɾntə fɔɾ aɪnɜ ɪntɜvəntsjoːn fɔn aʊsən ɡəvaɾnt
72911186-8b0e-4c0b-af3d-4d8765072930/81627527126fa2b4492de537a2dbcc64826aa7baf74450364e3656a7f48fd59b.mp3,Ostschweiz,Ein Punkt ist besonders erwähnenswert.,aɪn pʊŋkt ɪst bəzɔndɜs ɛɾvɛːnənsveːɾt,aɪpfʊŋktɪç pzʊndɐs ɛɾn vɛɾdənɪts vɛɾt,aɪn pʊŋkt ɪst bəzɔndɜs ɛɾvɛːnənsveːɾt
d9be733d-d0bd-41bb-8dc5-dfcabb99c105/e7b64541a6ece8ddc6fc3c80f4280cb7a80a5f575db8a3ce1fa456c1d0c89060.mp3,Ostschweiz,Aber er gab nie zweimal dasselbe Konzert.,ɑːbɜ ɛɾ ɡɑːp niː tsvaɪmɑːl daszɛlbə kɔntsɛɾt,ɛt hɛlt niːɾ tsvaɪmɪl sɛlbɪk kʊntsɛrt gɛl,ɛɾ ɡɑːp niː tsvaɪmɑːl zɛlbə kɔntsɛɾtə
0bda2f56-850b-4930-9370-89ba5bb5e80a/57676b2dbcb88ca09c2918aeb365796d2ce6d1007fe1bd70a5e9ac1ddce6f252.mp3,Ostschweiz,Afrikas Frühling lässt seine erste Schwalbe fliegen.,afriːkɑːs fryːlɪŋ lɛst zaɪnə eːɾstə ʃvalbə fliːɡən,afriː krasfɔøːlɪç lɛst ziːn jɛɾʃʃtalbɛflyːgɛ,afriːkɑːs fryːlɪŋ lɛst zaɪnə eːɾstə ʃvalbə fliːɡən
