Hochdeutsch,IPA_Dialekt,Anzahl
es,ɛs,89
und,ʊnt,67
die,diː,64
ich,ɪç,60
der,dɛɾ,53
für,fyːɾ,39
im,ɪm,37
sich,zɪç,32
das,das,29
ist,ɪç,26
auch,aʊ,25
in,ɪn,21
sind,zɪnt,21
er,ɛɾ,21
ist,ɪn,20
als,als,20
hat,hɛt,20
das,ɛs,20
wir,miːɾ,20
ist,ɪʃ,19
den,dɛɾ,18
der,deː,18
doch,dɔx,17
der,ɪn,17
sie,ziː,17
werden,vɛɾdə,17
wir,meːɾ,16
die,ɪn,14
ein,ɛs,13
nach,nɔx,13
ist,ɪs,13
haben,hɛnt,13
so,zoː,13
im,ɪn,12
diese,diː,12
der,ɪnə,12
wie,viːɾ,11
das,dɛs,11
des,fɔm,10
wir,miː,10
wird,viːɾt,10
sind,ɪn,10
aus,aʊs,9
zum,tsʊm,9
wird,viːɾ,9
und,ɔn,9
mehr,meː,9
der,fɔr,9
die,dɛɾ,9
mit,mɪt,8
für,diː,8
sie,ɪn,8
ganz,gants,8
dass,das,8
sich,tɪç,8
mit,miːt,8
ein,ɛn,8
der,dɛs,8
es,ɪs,8
der,fɔɾ,7
sie,tsiː,7
der,dɛ,7
ein,ɪn,7
ist,ɪst,7
der,diː,7
ich,ɪn,7
um,ʊm,7
das,dɛɾ,7
wird,vɪɾt,7
dann,dɛn,7
diese,diːɾ,7
nicht,nøːt,7
der,dɛt,6
das,ɪt,6
ist,ɪnz,6
des,fɔn,6
das,dɑz,6
den,deː,6
am,am,6
die,ɪɾ,6
das,ɪn,6
er,dɛɾ,6
sie,ɪs,6
in,diː,6
bei,biː,6
die,ɪnə,6
aus,ʊs,6
deshalb,dɛs,6
der,ɪtə,5
nur,nuːɾ,5
in,aɪdə,5
nicht,nɛt,5
dann,deːn,5
das,ɪs,5
vom,fɔm,5
die,deːɾ,5
auf,ɔf,5
sind,ɪm,5
dem,deːm,5
die,deː,5
viel,fiːl,5
der,mɪt,5
nicht,nɪt,5
und,ʊn,5
ich,diː,5
nicht,nøt,5
auf,ʊf,5
sind,ɪnt,5
