id,Hochdeutsch,IPA_Dialekt,methods,example_sentence,example_ipa_audio,example_ipa_reference,comment
31,dafür,fyːɾ,"greedy, positional, ibm",Dafür wurde er mit der Fields-Medaille ausgezeichnet.,dɑːrdɛ fyːɾ ɪn ɪn dɛn fiːlt mɪdɛlɾiː aʊstsaɪçnət vɑːrdən,dɑːfyːɾ vʊɐdə ɛɾ mɪt dɛɾ fiːltsmeːdalɪə aʊsɡətsaɪçnət,Dafür wäre dɑːrdɛ fyːɾ
78,wurden,zɪnt,"greedy, ibm",Allerdings wurden die Sicherheitsvorkehrungen verstärkt.,ɑlə dɪŋ zɪnt zɪçɑːts vɔːkɪːgə fɛɾstɛɾkkt vɔːdən,alɜdɪŋs vʊɐdən diː zɪçɜhaɪtsfoːɾkeːrʊŋən fɛɾʃtɛɾkt,wurden -> zɪnt vɔːdən also sind worde
84,damit,mɪt,"greedy, ibm",Damit wurde wieder das hohe Niveau vom April erreicht.,dɑːdə mɪt ɪn ʃviːdɛs hoːxɛrniːvoː fɔm aːbɾiːləraɪçt vɔːdə,dɑːmɪt vʊɐdə viːdɜ das hoːə niːvoː fɔm apɾiːl ɛɾraɪçt,Damit -> dɑːdə mɪt
85,davon,foː,"greedy, ibm",Hier ist ein ganzer Band davon.,dɔɾ ɪʃən gantsə baʊnt də foː,hiːɾ ɪst aɪn ɡantsɜ bant dɑːfɔn,də foː
87,einem,ɪm,"greedy, ibm",In einem Konflikt wären all ihre wunden Punkte sichtbar geworden.,ɪm nɛk kɔmflɪkt vɛɾət ɑːl ɪçə vʊndə pʊŋkt sɪçpaːl kvɔːdə,ɪn aɪnəm kɔnflɪkt vɛːrən al iːrə vʊndən pʊŋktə zɪçtbɑːɾ ɡəvɔɾdən,
111,trotzdem,dɛm,"greedy, ibm",In der Schweiz gibt es für mich trotzdem auch einen König.,aɪ dɛɾ ʃviːtskiːts fyːɾ mɪç trɔts dɛm aʊən kœnɪç,ɪn dɛɾ ʃvaɪts ɡiːpt ɛs fyːɾ mɪç tɾɔtsdeːm aʊx aɪnən køːnɪç,trotzdem -> trɔts dɛm
75,dabei,biː,"greedy, ibm",Dabei sind wir zu keinem vernünftigen Schluss gekommen.,dɛɾ biː zimə tsuː kaɪn fɔnœftɪgə ʃluːs koː,dɑːbaɪ zɪnt viːɾ tsuː kaɪnəm fɛɾnʏnftɪɡən ʃlʊs ɡəkɔmən,Dabei wäre dɛɾ biː
121,deshalb,dɛs,"positional, ibm",Das iranische Aussenministerium bestellte deshalb den saudi-arabischen Botschafter ein.,siːraːnɪçə ʊsəmiːnɪçtəɾiːʊm hɪt dɾʊŋ dɛs aʊdɪɾaːpɪʃpɔtʃaɾ fɔɾ tɛlt ɛbʃtɛlt,das iːrɑnɪʃə aʊszɛnmiːnɪsteːriːʊm bəʃtɛltə dɛshalp deːn zaʊdiːarɑbɪʃən bɔtʃaftɜ aɪn,deshalb -> dɾʊŋ
122,dieser,dɛɾ,"positional, ibm",Gleichzeitig wird die Pikettorganisation während dieser Zeit entlastet.,gliːxtsiːtɪg viːɾt piːkə aʊɐganiːzatsiːɔːn vɛɾɾɛt tɛrə tsiːt dɛɾ klaɪʃtət,ɡlaɪçtsaɪtɪç vɪɾt diː piːkɛtɔɾɡaniːzatsjoːn vɛːrənt diːzɜ tsaɪt ɛntlastət,dieser -> tɛrə
133,wurde,ɪç,greedy,Ein weiterer Mann wurde im Rahmen einer Fahndung identifiziert und gestellt.,ɛn vɪktərə mɑːɾ ɪç ɪm rɑːmə fɔnɔxfɑːndɪç iːdɛntifiːɾt ʊntgʃtɛlt vɔɾdə,aɪn vaɪtərɜ man vʊɐdə ɪm rɑːmən aɪnɜ fɑːndʊŋ iːdəntiːfiːtsiːɾt ʊnt ɡəʃtɛlt,wurde -> ɪç vɔɾdə
139,eine,ɛs,positional,Es ist eine saubere Sache und nicht anders als bei anderen Projektverfahren.,ɛs ʒeːsuːbɾiːzɑːx ɔn neːdɑːndɛɾʃt als biɑːgəndɛrə pɔjɛkt fɛrfɑːrə,ɛsɪst aɪnə zaʊbərə zaxə ʊnt nɪçt andɜs als baɪ andərən pɾoːjɛktfɛɾfɑːrən,
144,dabei,dɛɾ,positional,Dabei sind wir zu keinem vernünftigen Schluss gekommen.,dɛɾ biː zimə tsuː kaɪn fɔnœftɪgə ʃluːs koː,dɑːbaɪ zɪnt viːɾ tsuː kaɪnəm fɛɾnʏnftɪɡən ʃlʊs ɡəkɔmən,Dabei -> dɛɾ bi
148,einem,mɪt,positional,Glücklich verzog sie sich mit einem Buch unter ihre Bettdecke.,glyːglɪç heːd ziːç mɪt deːm meːbʊɐç ʊntɔbeːtɛk hiːv fɔtsɑːgən,ɡlʏklɪç fɛɾtsoːk ziː zɪç mɪt aɪnəm buːx ʊntɜ iːrə bɛtdɛkə,einem Buch -> deːm meːbʊɐç
150,gemeinderat,dɛɾ,positional,"Ich bitte, den Gemeinderat den Grund zu erläutern.",ɪl bitətə deːr ɪnmaɪndɾɔːt dɛɾ gɾʊntsɛɾ lyːktɛrəvɛ,ɪç bɪtə deːn ɡəmaɪndeːrɑːt deːn ɡɾʊnt tsuː ɛɾlɔøtɜn,gemeinderat -> ɪnmaɪndɾɔːt
152,können,dɛɾ,positional,Sie werden sich sicher gut an den komplizierten Budgetprozess 2017 erinnern können.,ziːvɛɾdə tziːç zɪç zɪç kuːɾət aɪn dɛɾ kɔmplitsiːɾt byːtʃɛ pɔtsɛs tsvaɪt daʊzɪk ʊnt ziːbətseːrɛːrɪːnɛr kʏnən,ziː vɛɾdən zɪç zɪçɜ ɡuːt an deːn kɔmpliːtsiːɾtən bʊdɡɛtpɾoːtsɛs tsvaɪ taʊzənt ziːptseːn ɛɾɪnɜn kœnən,können -> kʏnən
155,allem,diː,positional,Profitieren würden vor allem die Reichen.,pəroːfɪtɪrən viːɾɾtət vərɑːləm diː riːɣə,pɾoːfiːtiːrən vʏɾdən fɔɾ aləm diː raɪçən,vor allem -> vərɑːləm
160,anträge,dɛɾ,positional,Abschliessend unterstützt die SP auch die Anträge der FGPK.,abʃlyːsənt ʊndɛst diːts dɛsbɪː aʊtɑːdɾɛk fɔn dɛɾ ɛfgɛp kɑː,apʃliːsənt ʊntɜʃtʏtst diː ɛspeː aʊx diː antɾɛːɡə dɛɾ ɛfɡeːpeːkɑː,
162,beispielsweise,viːs,positional,Sie würde beispielsweise an Joseph Goebbels erinnern.,ɪn yːɾt biːʃpɪls viːs ɑn jɔs ɛv kœbɛts ɛɾɛnərə,ziː vʏɾdə baɪʃpiːlsvaɪzə an joːzeːf ɡœbəls ɛɾɪnɜn,beispielsweise -> biːʃpɪls viːs
167,damals,dɛɾ,positional,Die EU-Kommission lehnte damals die geforderte Summe ab.,deːoːkɾʊmɪsoːn hɛl damɛɾɛs dɛɾ kfɔɾdɜtsʊmɛ aɾplɪnt,diː eːuːkɔmɪsjoːn leːntə dɑmɑːls diː ɡəfɔɾdɜtə zʊmə ap,damɛɾɛs
168,darf,dɛɾ,positional,Darf ich meine Freundin darauf ansprechen?,dɛɾ fiːn vɪnɪfʊldɪn ɔf dɑː ɑːr spɛçə,daɾf ɪç maɪnə frɔøndɪn dɑːraʊf anʃpɾɛçən,Darf ich ->  dɛɾ fiːn
173,eingehalten,iː,positional,"Es ist eine Selbstverständlich, dass diese eingehalten wird.",ɛs ɪç zɛp fɔɾʃtɛndlɔç das dɑː iː kɑːltɛrviːɾt,ɛsɪst aɪnə zɛlpstfɛɾʃtɛntlɪç das diːzə aɪnɡəhaltən vɪɾt,eingehalten wird -> iː kɑːltɛrviːɾt
175,entweder,ɛnt,positional,Entweder der Demokrat oder der Republikaner gewinnt.,ɛnt ɛnt ɛn dɛmɔk ɾɑːtəl dɛɾ ɾɪboːklɪk ɣɑːn ɔk kwyːnt,ɛntveːdɜ dɛɾ deːmoːkɾɑːt oːdɜ dɛɾ reːpuːbliːkɑːnɜ ɡəvɪnt,Entweder -> ɛnt ɛnt
177,fdp,peː,positional,Die FDP setzt sich für Fortschritte ein.,ɛftə peː sɛtst tɪç fyːɾ fɔːɾtʃriːtiː,diː ɛfdeːpeː zɛtst zɪç fyːɾ fɔɾtʃrɪtə aɪn,FDP -> ɛftə peː
189,inzwischen,ɪn,positional,Inzwischen steht die Welt für mich Kopf.,ɪn dɛɾ tsvɪʃə tsɛɾt stɑːt dvɛl fɛɾ mɪç gɾapf,ɪntsvɪʃən ʃteːt diː vɛlt fyːɾ mɪç kɔpf,Inzwischen -> ɪn dɛɾ tsvɪʃə
