HD_Phrase,IPA_Phrase,HD_N,IPA_N,Mapping_Type,Is_Phrase_Mapping,Gemeinsame_Treffer,Occurrence_Count,HD_Haeufigkeit,IPA_Haeufigkeit,HD_Rate,IPA_Rate,PMI,Avg_Position_Distance,Score,Example_Sentence,Example_IPA_Audio,Example_IPA_Reference,Example_Tense,Rank_For_HD_Phrase
und,ʊnt,1,1,1-1,0,143,145,329,166,0.4347,0.8614,3.0135,0.0497,409.5263,Alle Elemente sind gesteckt und geschraubt.,ɑːliːrə mɛnt zɪnt gʃtɛkɪt ʊnt gʃroːbət,alə eːleːmɛntə zɪnt ɡəʃtɛkt ʊnt ɡəʃraʊpt,Perfekt,1
für,fyːɾ,1,1,1-1,0,83,84,234,106,0.3547,0.783,3.3673,0.0545,264.2573,Sie hat die Zusammenarbeit für dieses Projekt mit den Gemeinden gesucht.,ɪn hɛt zlɛmə ɑːbɛlt fyːɾ das bɾɛkçt miː deːk maɪnɪnzgzuːxt,ziː hat diː tsuːzamənaɾbaɪt fyːɾ diːzəs pɾoːjɛkt mɪt deːn ɡəmaɪndən ɡəzuːxt,Perfekt,1
sich,zɪç,1,1,1-1,0,72,73,203,83,0.3547,0.8675,3.7201,0.0571,252.5589,Susanne Heuberger begibt sich in den Ausstand.,tsuːzɑːn hɔøbɛɾgɔ bɛgiːt zɪç ɪn ʊsʃtɑːnd,zuːzanə hɔøbɛɾɡɜ bəɡiːpt zɪç ɪn deːn aʊsʃtant,Präsens,1
im,ɪm,1,1,1-1,0,78,79,197,120,0.3959,0.65,3.347,0.0495,248.1396,Sie kümmerte sich nicht im Geringsten um das Glück ihres Vaters.,zɪh haɪt ziːɾ nɛd ɪm gɾɛŋkʃteːʊm ʃglʏk fɔːɾ iːrən vɑːtɛ gɾʏmərə,ziː kʏmɜtə zɪç nɪçt ɪm ɡərɪŋstən ʊm das ɡlʏk iːrəs fɑːtɜs,Präsens,1
es,ɛs,1,1,1-1,0,103,103,289,205,0.3564,0.5024,2.4227,0.0261,243.0333,Es wäre sicher nicht zielführend.,ɛs vɛsɪç ɦɪnɛtsɪl fyːɾɛnd,ɛs vɛːrə zɪçɜ nɪçt tsiːlfyːrənt,Präsens,1
als,als,1,1,1-1,0,43,45,86,52,0.5,0.8269,4.8901,0.0507,199.6147,Zudem bin ich bei SRF als Experte noch ein wenig dabei.,tsuːdɛn biniː biːɛsərɛf als ɛkspɛɾtɛ nɔɾ ɛs piːtslɪdɛbiː,tsuːdeːm bɪn ɪç baɪ ɛsɛrɛf als ɛkspɛɾtə nɔx aɪn veːnɪç dɑːbaɪ,Präsens,1
ich,ɪç,1,1,1-1,0,68,70,207,145,0.3285,0.469,2.8047,0.0263,185.7058,Ich danke aber auch allen Fiko-Mitgliedern für ihren ausserordentlichen Einsatz.,ɪç dɑŋkənaɪnɑːv alənə fiːk kɔmɪkgliːtɑː fyːrɪən ʊsɛrɔːgənləxəniːzɛts,ɪç daŋkə ɑːbɜ aʊx alən fiːkoːmɪtɡliːdɜn fyːɾ iːrən aʊszeːrɔɾdəntlɪçən aɪnzats,Präsens,1
werden,vɛɾdə,1,1,1-1,0,45,46,157,47,0.2866,0.9574,4.2332,0.0294,184.8876,Deshalb soll der Grenzschutz dort verstärkt werden.,ɪs aɪpsəldə gɾɛːnʃʊts døːt fɛɾʃtɛɾkst vɛɾdə,dɛshalp zɔl dɛɾ ɡɾɛntsʃʊts dɔɾt fɛɾʃtɛɾkt vɛɾdən,Futur,1
mit,mɪt,1,1,1-1,0,45,45,159,57,0.283,0.7895,3.9367,0.0664,165.3868,"Für diesen Verband, einen grossen Gewinn, mit positiven Folgen auch für dich.",fœltɛɾ fɛɾpant ɪnzəs ɪn gɾɑːsək vʏn mɪt pɔsɪtɪfə foːlgə aʊfə diː,fyːɾ diːzən fɛɾbant aɪnən ɡɾɔsən ɡəvɪn mɪt poːziːtiːvən fɔlɡən aʊx fyːɾ dɪç,Präsens,1
nach,nɔx,1,1,1-1,0,32,33,61,47,0.5246,0.6809,5.1053,0.0542,154.5217,Geblieben ist hingegen ihr Drang nach Leistung.,liːbə ɪʃən geːgə iːrə dɾaːn nɔx laɪʃtɪk,ɡəbliːbən ɪst hɪnɡeːɡən iːɾ dɾaŋ nɑːx laɪstʊŋ,Perfekt,1
